100|	|Daily Shift Handover|	|0
~~101|	|Daily Shift Handover|	|0
~~102|	|Heavy Oils Board Technician 11/12/69 (Post 4)|	|0
~~103|	|Heavy Oils Board Technician 8/9 (Post 3)|	|0
~~104|	|Heavy Oils STL (Post 1)|	|0
~~105|	|Light Oils Board Technician 2/3/4/5/6 (Post 4)|	|0
~~106|	|Light Oils Board Technician 61/10 (Post 3)|	|0
~~107|	|Light Oils STL (Post 1)|	|0
~~108|	|P&S Board Technician|	|0
~~109|	|Shift Supervisor|	|0
~~110|	|Synthetic Oils Board Technician 51/53/55 (Post 4)|	|0
~~111|	|Synthetic Oils Board Technician 52 (Post 3)|	|0
~~112|	|Synthetic Oils STL (Post 1)|	|0
~~113|	|Unionfining Board Technician 63 EDD (Post 3)|	|0
~~114|	|Unionfining Board Technician 63 SIG (Post 4)|	|0
~~115|	|Unionfining STL (Post 1)|	|0
~~116|	|Utilities Board Technician Boilers (Post 3)|	|0
~~117|	|Utilities Board Technician SRU (Post 4)|	|0
~~118|	|Utilities Outside Tech (Post 2)|	|0
~~119|	|Utilities Outside Tech Boilers (Post 6)|	|0
~~120|	|Utilities Outside Tech Offsites (Post 7)|	|0
~~121|	|Utilities Outside Tech SRU (Post 5)|	|0
~~122|	|Utilities STL (Post 1)|	|0
~~123|	|Heavy Oils Coke Driller Handover|	|0
~~124|	|Utilities Special Assignment|	|0
~~125|	|P&S Special Assignment|	|0
~~126|	|UPG Maint - MSS|	|0
~~127|	|Heavy Oils Outside Technician 8/9 (Post 6)|	|0
~~128|	|Heavy Oils Outside Technician 11/12 (Post 7)|	|0
~~129|	|Heavy Oils Outside Technician 69 (Post 8)|	|0
~~130|	|P2 - Utilities Outside Operator Daily|	|0
~~131|	|P2 - A-Boardman Daily|	|0
~~132|	|P2 - B-Boardman Daily|	|0
~~133|	|P1 - Crude/#2HDS Outside Operator Daily|	|0
~~134|	|P2 - Crude Outside Operator Daily|	|0
~~135|	|Environmental/Wastewater Operator Daily|	|0
~~136|	|P1 - FCC Outside Operator Daily|	|0
~~137|	|P2 - Operator Daily|	|0
~~138|	|P1 - OMD 1 Chief Daily|	|0
~~139|	|P1 - A-Pumper Daily|	|0
~~140|	|P1 - Loader Daily|	|0
~~141|	|P2 - OMD 2 Chief Daily|	|0
~~142|	|P2 - A-Pumper Daily|	|0
~~143|	|P2 - B-Pumper Daily|	|0
~~144|	|P2 - Loader Daily|	|0
~~145|	|P1 - Operator Daily|	|0
~~146|	|P1 - Light Oil Chief Daily|	|0
~~147|	|P1 - SRU/Reformer Outside Operator Daily|	|0
~~148|	|P2 - Reformer/NDS Outside Operator Daily|	|1
~~149|	|P1 - Shift Supervisor Daily|	|0
~~150|	|P2 - Shift Supervisor Daily|	|0
~~151|	|P2 - SRU/Amine/SWS Outside Operator Daily|	|1
~~152|	|CPU/VRU|	|1
